cat|value|label|strahler|area
1033|1010||1|203429.426506
1034|1003||1|193289.156013
1035|1006||1|176284.702417
1036|1004||1|232758.208855
1037|995||1|399214.649102
1038|998||1|168328.490184
1039|1008||1|360525.617066
1040|1005||1|135411.612122
1041|1013||1|145239.874292
1042|1001||1|153352.090687
1043|1014||1|208577.563833
1044|1009||1|117627.137719
1046|1011||1|285019.602934
1047|1015||1|218873.838487
1048|1012||1|147111.924229
1049|1031||1|293599.831813
1051|1037||1|404362.786428
1052|1020||1|213101.684515
1053|1027||1|186736.981233
1054|1022||1|175504.681609
1055|1016||1|216689.780228
1056|1028||1|132447.533055
1057|1024||1|256626.845553
1058|1025||1|184864.931295
1059|1032||1|200621.3516
1060|1021||1|168328.490184
1061|1023||1|351009.363219
1062|1017||1|149919.999135
1063|1019||1|111230.9671
1064|1030||1|349761.329928
1065|1036||1|317156.460189
1066|1029||1|311228.302054
1067|1018||1|119343.183495
1068|1042||1|171136.56509
1069|1026||1|379090.112277
1070|1035||1|162400.332049
1071|1060||1|402802.744814
1072|1033||1|117471.133557
1073|1046||1|312008.322863
1074|1038||1|392506.47016
1075|1073||1|624484.658208
1076|1034||1|239466.387796
1078|1039||1|186268.968748
1079|1040||1|129483.453988
1080|1056||1|393754.503453
1081|1043||1|247734.608352
1082|1044||1|285019.602933
1083|1041||1|460368.280383
1084|1047||1|376126.03321
1085|1045||1|130575.483118
1086|1052||1|237282.329537
1087|1054||1|155224.140624
1088|1063||1|115443.079459
1089|1048||1|233538.229662
1090|1051||1|164584.39031
1091|1064||1|222149.925878
1092|1050||1|156472.173915
1093|1049||1|110606.950455
1094|1053||1|663485.698566
1096|1057||1|182680.873036
1097|1078||1|334784.930431
1098|1061||1|201557.376569
1099|1062||1|175972.694094
1100|1058||1|132291.528893
1101|1066||1|506389.508005
1102|1055||1|152260.061557
1103|1065||1|185488.947941
1104|1059||1|430259.477226
1105|1076||1|327608.739005
1106|1068||1|151168.032426
1107|1067||1|792813.148392
1108|1069||1|196877.251726
1109|1085||1|237282.329537
1110|1075||1|591567.780145
1111|1079||1|171604.577574
1112|1089||1|263335.024496
1113|1071||1|150076.003296
1114|1070||1|205613.484766
1115|1077||1|158188.219691
1116|1072||1|125739.354113
1117|1074||1|109202.913002
1118|1090||1|175504.68161
1119|1082||1|200465.347438
1120|1094||1|199217.314147
1121|1086||1|199997.334954
1122|1093||1|136815.649575
1123|1080||1|226206.034075
1124|1088||1|324644.659938
1125|1091||1|546638.581654
1126|1097||1|110606.950455
1127|1083||1|136035.628768
1128|1100||1|207953.547188
1129|1081||1|225426.013267
1130|1095||1|323552.630808
1131|1084||1|109514.921324
1132|1099||1|233850.237985
1133|1103||1|440867.760204
1134|1087||1|202493.401538
1135|1104||1|174412.65248
1136|1101||1|213257.688676
1137|1092||1|90638.417791
1138|1096||1|133071.5497
1139|1098||1|240090.404442
1140|1102||1|161464.307081
1142|1107||1|206393.505573
1143|1125||1|419495.190088
1144|1106||1|144927.86597
1145|1105||1|98594.630024
1147|1108||1|117783.14188
1148|1113||1|186580.977071
1149|1109||1|160528.282112
1150|1112||1|115599.08362
1151|1110||1|326048.697391
1152|1116||1|153352.090687
1153|1114||1|172540.602543
1154|1120||1|206237.501411
1155|1111||1|154912.132301
1156|1119||1|151012.028265
1157|1115||1|176440.706579
1158|1124||1|380026.137246
1159|1118||1|266611.111886
1160|1123||1|143211.820193
1161|1121||1|315284.410252
1163|1131||1|149763.994973
1164|1133||1|336344.972045
1166|1122||1|115131.071136
1167|1117||1|293599.831814
1168|1126||1|196409.239241
1169|1130||1|163180.352857
1170|1145||1|476748.717332
1171|1138||1|278935.440638
1172|1128||1|195785.222595
1173|1132||1|167236.461054
1175|1127||1|138063.682866
